Screen Name,Text,Replies,Retweets,Likes,Sentiment
LuckTogel,b'Top 5 Prediksi Togel Hongkong 1 Juni 2022 pagii\n.\n.\n.\n. \n.\n.\n.\n#Lucktogel #prediksi #prediksitogel #angkajitu\xe2\x80\xa6 https://t.co/1hudLaFRBY',,0,0,Netral
Newsunnn98,b'RT @bunnyycutie: ini apalagi coba tbtb ada penyakit endemik yang mengancam jadi pandemi udah kaliii woiii udah capek ngadepin pandemi :(( K\xe2\x80\xa6',,2,0,Positif
benghar7,"b'Produk Terbatas dan Hampir habis, segera cek out SEKARANG kalau ga mau kehabisan PROMOnya\n\nTag :\nNakes\nPelecehan\xe2\x80\xa6 https://t.co/0oFsAkBbuh'",,0,0,Netral
SH4INA3,"b'#waspadacacarmonyet, ayo pndh ke negri anime.'",,0,1,Netral
unniepro,"b'RT @jihaneeew: Setelah searching google, ternyata yang kena cacar monyet tuh mostly laki-laki ya, yang laki-laki berarti harus lebih waspad\xe2\x80\xa6'",,3,0,Positif
JHaduw,b'Di Persawahan Bandung Barat Muncul Lubang Misterius https://t.co/Y1dvyM8ntB \n\nPelecehan \nEril \nNakes \nYamato\xe2\x80\xa6 https://t.co/RpJdtXpVyy',,0,0,Netral
JHaduw,b'KPK Perkenalkan Rompi Biru Penangkal Korupsi Ke Publik https://t.co/VWJqvKyJQZ \n\nPelecehan \nEril \nNakes \nYamato\xe2\x80\xa6 https://t.co/XtUMT2BaB9',,0,0,Netral
JHaduw,"b'Harus Jalani Operasi Lagi, Marc Marquez Disebut Menderita Di Atas Motor https://t.co/iFdHqohhzv \n\nPelecehan \nEril\xe2\x80\xa6 https://t.co/LcnKIEABZl'",,0,0,Netral
JHaduw,"b'Spesifikasi Pesawat Yang Jatuh Di Nepal, Memiliki 30 Ribu Jam Terbang https://t.co/apahUTYgTf \n\nPelecehan \nEril \nNa\xe2\x80\xa6 https://t.co/3Jp8ejQdCw'",,0,0,Netral
Menggabutkan02,"b'Gitar Akustik YAMAHA Custom (dapat tas, senar dan pick) pemula murah dengan harga Rp174.500. Link produk\xe2\x80\xa6 https://t.co/njjWZaoQzN'",,0,0,Netral
fortynine_bylrs,"b'Selamat tanggal merah, people! Akhirnya ada libur pas weekday ya\xf0\x9f\x8e\x89\xf0\x9f\x8e\x89  tetep semangat juga buat yg masih harus kerja \xf0\x9f\x92\xaa\xe2\x80\xa6 https://t.co/yUNyMRbp5m'",,0,0,Netral
benghar7,"b'Produk Terbatas dan Hampir habis, segera cek out SEKARANG kalau ga mau kehabisan PROMOnya\n\nTag :\nNakes\nPelecehan\xe2\x80\xa6 https://t.co/8woKhAuvTL'",,0,0,Netral
fanny_fenyza,"b'https://t.co/Bvok0QdDG6 slot online terpercaya, daftar slot idn, daftar idn slot, slot online 24jam,\xe2\x80\xa6 https://t.co/rxmedvg3Y0'",,0,0,Netral
benghar7,"b'Produk Terbatas dan Hampir habis, segera cek out SEKARANG kalau ga mau kehabisan PROMOnya\n\nTag :\nNakes\nPelecehan\xe2\x80\xa6 https://t.co/zSXngqVDWm'",,0,0,Netral
urmarkarel,"b'#WaspadaCacarMonyet ini daftar kasus di beberapa negara ya, Inggris sebanyak 71 kasus, Spanyol dengan 51 kasus dan\xe2\x80\xa6 https://t.co/408yCvUHmk'",,0,0,Positif
ejejloml,b'kata kemenkes cacar monyet ini ngga mematikan kok tapi tetep harus waspada ya  #WaspadaCacarMonyet',,0,1,Positif
tytrackss,b'ayoo ortu dan keluarga terdekat mulai diimbau buat makin patuh ke protokol kesehatan  #WaspadaCacarMonyet',,0,0,Positif
Tricahyodanu__,"b'Bisa aja negara wakanda, cacar monyet apa emang tujuannya cari cuan? #cacarmonyet #waspadacacarmonyet'",,0,0,Negatif
RatuVieka_0501,b'Gini amat masa muda gue dipenuhi virus virus\xf0\x9f\xa5\xb2\n\n#WaspadaCacarMonyet',,0,0,Netral
bcotieaja,"b'cacar monyet beneran udh sampe di indo kah hduhhh gamau kenak cacar lagi, bebekas cacar di badan gw aja ga ilang2 \xf0\x9f\xa5\xb9\xf0\x9f\xa5\xb9\xf0\x9f\xa5\xb9\n#waspadacacarmonyet'",,0,0,Positif
tribunpontianak,"b'Potret Zara Adik Eril saat Ikut Pantau Pencarian sang Kakak, Menunduk dan Termenung\nhttps://t.co/NC1eVldSRC\n\n#eril\xe2\x80\xa6 https://t.co/MOr4Siuuwa'",,0,0,Netral
santridanalam,"b'Gejala awal dpt berlangsung 1\xe2\x80\x933 hari atau lebih. Setelah itu, ruam muncul di wajah &amp",,,,Positif
JesusConsejero,b'no te pierdas este mensaje.#Biblia #Jesus #RicardoClaurePe\xc3\xb1aloza #SinfoniasCelestiales #Profecias #34a\xc3\xb1osdeHistoria\xe2\x80\xa6 https://t.co/W0tMOCg7ab',,0,1,Netral
Belle_Fre,b'tenang . apapun keadaannya .\n\neril ~Yamato ~nakes ~pelecehan  #WaspadaCacarMonyet https://t.co/DTviy1iFW8',,5,8,Netral
ahyawari,b'Capek-capek berjuang untuk glow_up ehh #WaspadaCacarMonyet gini amat massa muda kalian.\nHoror mulu ni suasana',,2,5,Netral
hamster_jie,"b'Apa Allah lagi marah sama manusia akhir jaman ini karena udh melewati batas? Kemarin covid, sekarang ini, semoga gk\xe2\x80\xa6 https://t.co/F6KsvtK1eh'",,0,0,Negatif
somethingwhite_,b'JUAL NETFLIX HARIAN &amp,,,,Netral
Sinchaanone,b'banyak yang bilang kalo cacar monyet ini cuma konspirasi yang dibuat buat tapi apa salahnya kalo kita waspada mulai\xe2\x80\xa6 https://t.co/9PJ9Cq0mk0',,0,0,Positif
MsDesyy,b'amin..\n\neril ~Yamato ~nakes ~pelecehan  #WaspadaCacarMonyet https://t.co/u4YqPxx3ZG',,0,2,Netral
shopeesale_id,b'ROK BUTTON SKIRT PLISKET TERMURAHSOLO dengan harga Rp34.990. Dapatkan di Shopee sekarang! https://t.co/78Z5MoSfzp\nE\xe2\x80\xa6 https://t.co/6a7KagRy8h',,0,0,Netral
shopeesale_id,b'GHEA LONG SKIRT PLISKET BY MYJIVI dengan harga Rp99.900. Dapatkan di Shopee sekarang! https://t.co/5opByptXO5\nEril\xe2\x80\xa6 https://t.co/kAf0BsatHb',,0,0,Netral
shopeesale_id,b'PC - Asters Long Skirt Import / Pakaian Wanita / Maxi Skirt Kekinian / Fashion Korea Terbaru dengan harga Rp92.900.\xe2\x80\xa6 https://t.co/3Xi80zoint',,0,1,Netral
shopeesale_id,b'Midi Skirt POLKADOT | White &amp,,,,Netral
shopeesale_id,b'Monoxroom - Basic Skirt dengan harga Rp153.900 - Rp173.900. Dapatkan di Shopee sekarang! https://t.co/jeIgOPk1m1\nEr\xe2\x80\xa6 https://t.co/RUMfmzgJqJ',,0,0,Netral
quaaeleven,"b'takut banget sama cacar monyet yang akhir akhir ini marak dibahas katanya penyebarannya bisa lewat droplets juga, i\xe2\x80\xa6 https://t.co/4QQUl3WUlW'",,0,0,Positif
quaanine,b'jangan sampe 2022 ini jadi 2021 jilid 2 big no no ayo 2022 kita mulai bisa bebas sedikit demi sedikit jangan sampe\xe2\x80\xa6 https://t.co/luMpXIhz7Z',,0,0,Netral
Nur_chtmh,"b'Ya Allah jgn sampai penyakit ini di Indonesia, sy trypophobia ya Allah\xf0\x9f\x98\xad #WaspadaCacarMonyet'",,0,2,Positif
quaateen,b'jangan kasih kendor buat prokes kita soalnya denger denger indonesia mulai #WaspadaCacarMonyet',,0,0,Positif
cakeawayyy,"b'kalo gini mah jadinya tetep 24/7 pakai masker :( bisa lewat droplets jg menularnya abis aku baca, stay safe all\xe2\x80\xa6 https://t.co/fPcLlmB46m'",,0,2,Positif
Sirgandaalf,b'Perlunya upaya pencegahan penyakit cacar monyet supaya negara kita tetap aman dari penyakit menular yang satu ini #WaspadaCacarMonyet',,0,0,Positif
aftantia,b'Maksut aku cacar monyet bukan flu monyet wkwk @bahrul_xp #WaspadaCacarMonyet',,0,0,Netral
Azalleaflame,"b'Penyakit cacar monyet ini sama kaya cacar biasa, yaitu menular.. Makanya kalian hati-hati saat kontak dengan orang asing #WaspadaCacarMonyet'",,0,0,Positif
masgupik,b'Banyak bgt buzzer pake hastag ini. Mau ada kasus apaan yg ditutupin? #.WaspadaCacarMonyet',,0,0,Negatif
AnestyHalf,"b'Buat yang belum tau tentang cacar monyet, kalian harus cari tau dulu, supaya ngerti cara pencegahannya #WaspadaCacarMonyet'",,0,0,Positif
Lotuslitx,b'Sangat mendukung upaya pencegahan yang dilakukan pemerintah Indonesia supaya kita tidak ada yang terkena penyakit c\xe2\x80\xa6 https://t.co/0bSZbjfzeq',,0,0,Positif
Sinchaanone,"b'Ada lagi nih penyakit cacar monyet, hmm.. Ya walaupun nggak berbahaya, harus ada upaya preventif juga #WaspadaCacarMonyet'",,0,0,Positif
nofalsyerick,"b'Wawww, Sebagai sesama manusia kita sudah seharusnya saling mengingatkan agar bisa menjaga diri dari penyakit sepert\xe2\x80\xa6 https://t.co/j1fJf6VTOk'",,0,0,Positif
firnolasyon,b'Saking perlu waspadanya nih perlu kita ketahui jadi penyakit ini tuh ditemukan pertama kali di negara Kongo yaitu p\xe2\x80\xa6 https://t.co/P8lCkTz9Be',,0,0,Positif
Urnazellyn,"b'Jangan seneng dulu, meskipun di Indonesia belum tercatat adanya orang yg terjangkit cacar monyet, kita harus bisa m\xe2\x80\xa6 https://t.co/JPnxv2LBJy'",,0,0,Positif
WarkopMD,b'Kocak!!! Status Penjualan di Lazada Gantung Selama 3 Tahun https://t.co/dDKC0iFA5X lewat @YouTube \n\ntren: Yamato Pe\xe2\x80\xa6 https://t.co/CWbfU9YJxl',,0,0,Netral
fjulvona,"b'Wahhhh, Penyakit cacar monyet ini diketahui pertama kali ditemukan di benua Afrika, tepatnya di negara Kongo pada t\xe2\x80\xa6 https://t.co/hvQ3nurSYO'",,0,1,Positif
hanakiroma,"b'Yang terpenting, Menjaga imun tubuh itu sangat penting sekali untuk mencegah virus-virus seperti cacar monyet yang\xe2\x80\xa6 https://t.co/6zil6NFqe2'",,0,0,Positif
Quaaeight,b'ini apalagi coba tbtb ada penyakit endemik yang mengancam jadi pandemi udah kaliii woiii udah capek ngadepin pandem\xe2\x80\xa6 https://t.co/GoOwRK1HQC',,0,0,Netral
monakarine1,"b'Wahhh, Menurut riset, penyakit cacar monyet sendiri sama seperti cacar biasa, dapat berlangsung sekitar 2 sampai 4\xe2\x80\xa6 https://t.co/iLTVaPHPhq'",,0,7,Positif
Quaaseven,"b'Mari kita lihat chingudeul konspirasi apalagi kali ini hehehehe #WaspadaCacarMonyet mulai naik di beberapa negara,\xe2\x80\xa6 https://t.co/6QR5DUwLDK'",,0,0,Negatif
kuannin,b'ada cacar lagi? terakhir gw kena cacar air aja muka udah jadi kaya monyet apalagi kena cacar monyet #WaspadaCacarMonyet',,0,0,Netral
edukasiborneo,b'Latihan Soal dan Kunci Jawaban Matematika SAINTEK UTBK\n#YAMATO #eril #nakes #waspadacacarmonyet #ScientistGanteng\xe2\x80\xa6 https://t.co/HNhMDDxePs',,0,0,Netral
jayysloml,"b'takut banget pls, bentukan cacarnya serem banget. masa muda gua gini bgt dah:(. baru kelar covid, skrng muncul viru\xe2\x80\xa6 https://t.co/CqdxSUrEQs'",,0,0,Negatif
Urmartaa,b'Katanya cacar monyet ngga seberbahaya covid tapi kan tetep ngeri ye wak kalo kepapar juga dah paling bener kita mul\xe2\x80\xa6 https://t.co/pewnBlqGkS',,0,0,Positif
tjoetfi3,"b'Buset, baru jg cororong udah mendingan, nambah lagi nih wabah, gewees bumi dan kita, semoga terhindar juga dari sem\xe2\x80\xa6 https://t.co/EZ4KaOupDv'",,0,0,Negatif
MSuthamp,b'Jaga dan waspada guys cobaan apalagi sekarang ada penyebaran penyakit baru lewat udara lagi banyak berdoa untuk tid\xe2\x80\xa6 https://t.co/yEXUvpjwlh',,0,1,Positif
iviyanetta,b'Yang ngerasa kena gejala penyakit cacar monyet better buruan check up ke dokter deh takutnya nanti keburu nularin y\xe2\x80\xa6 https://t.co/bBYAbPOcDI',,0,0,Positif
867Evo,b'RT @AyuTasia_: Sofa Angin Santai Dirumah makin nyaman dengan ini\n\xe2\x9e\xa1\xef\xb8\x8f https://t.co/S95izd3Ypx \n\n.\n.\nKIM JUNGWOO Pelecehan Yamato eril blackpi\xe2\x80\xa6',,9,0,Netral
kaum_muslimin01,"b'#waspadacacarmonyet  Cebong LGBT PKI Pancasila anti Syareat islam, anti khilafah, anti kadrun, melahirkan generasi\xe2\x80\xa6 https://t.co/0Zhx4lpjYE'",,0,1,Negatif
Putrnsr_,"b'Wabah covid 19,hepatitis,dan skrg apalg ini.. #WaspadaCacarMonyet\nStay safe untuk kita semua yaa mentemen\xf0\x9f\x99\x83'",,0,0,Positif
Quaafive,b'Baru juga kemarin seneng karena corona udah mulai turun banget eh sekarang dikasih penyakit baru lagi yang mengharu\xe2\x80\xa6 https://t.co/Z3sXQWfJcQ',,0,0,Negatif
freya_imut7,"b'Yuk mulai #WaspadaCacarMonyet yang belakangan ini mulai rame dibicarakan dimana"". Gejala awal terjangkit cacar viru\xe2\x80\xa6 https://t.co/lNnP6s4IAa'",,0,1,Positif
wendaesik,b'RT @SiJangkrik7: Kemenkes mewanti wanti warga supaya waspada dengan cacar monyet karena sangan berbahaya.\n#WaspadaCacarMonyet \nhttps://t.co\xe2\x80\xa6',,4,0,Positif
AyuTasia_,b'Sofa Angin Santai Dirumah makin nyaman dengan ini\n\xe2\x9e\xa1\xef\xb8\x8f https://t.co/S95izd3Ypx \n\n.\n.\nKIM JUNGWOO Pelecehan Yamato eri\xe2\x80\xa6 https://t.co/qxRKfa0TsK',,9,11,Netral
Quaathree,"b'Pertengahan kelas 11 dilanjut gapyear sekarang mulai kuliah ini masih aja ada penyakit baru yang muncul, bukan baru\xe2\x80\xa6 https://t.co/MSgeeNOm2X'",,0,0,Netral
FKatwsia,b'Jaga protokol kesehatan nich jangan kendor dan semoga INDONESIA tidak tertular ya. \n#WaspadaCacarMonyet',,0,0,Positif
bimabasket,b'Cacar monyet sama jerawat lebih parah mana penyakitnya? #waspadacacarmonyet',,0,0,Netral
natasheeila,"b'asli ih setelah liat foto foto dari internet, foto orang yang sudah terjangkit cacar monyet jadi merinding ngeri gi\xe2\x80\xa6 https://t.co/4XdhOOVEAy'",,0,0,Negatif
gochuujjangy,"b'Sepertinya masih banyak orang yang tidak tau tentang cacar monyet, makanya kita harus saling bertukar info #WaspadaCacarMonyet'",,0,0,Positif
kaum_muslimin01,"b'#waspadacacarmonyet  Cebong LGBT PKI Pancasila anti Syareat islam, anti khilafah, anti kadrun, menyebabkan murtad b\xe2\x80\xa6 https://t.co/ryRUd0aSvE'",,0,1,Negatif
firlafams,"b'\xe2\x9c\xa8 rak serbaguna tempel\n200rban Udah free cermin, packing kayu kardus dan bubble wrap\n\xe2\xad\x904.8\n\xf0\x9f\x94\x97https://t.co/gTYGVTqBly\xe2\x80\xa6 https://t.co/WnINTKScpm'",,0,2,Netral
geuriwohadaa,b'eh guys waspada ya sekarang tuh ada penyakit namanya cacar monyet serem deh coba cari tau deh. jangan lupa himbau k\xe2\x80\xa6 https://t.co/rbAI8WV7Tv',,0,0,Positif
Firda_ratnaa,b'#WaspadaCacarMonyet yang belakangan ini mulai rame dibicarakan. Gejala awal terjangkit cacar monyet ini tuh flu yan\xe2\x80\xa6 https://t.co/Iz5RhD4jli',,0,0,Positif
cherprangareek4,b'Tidak semestinya kita harus kalang kabut berita masalah penyakit cacar monyet yang mudah menular cuma harus hati hati. \n#WaspadaCacarMonyet',,0,0,Positif
yejiapsaa7,"b'udah lumayan banyak korbannya nih, jangan sampai kita kena, kita harus waspada dari sekarang dengan cara menjaga ke\xe2\x80\xa6 https://t.co/WIGMI0HOLJ'",,0,0,Positif
kehedchoice89,"b'Tetap jaga kesehatan,jaga kebersihan dan jaga imun tubuh !\n\n_______________\nEril Hujan Bulan Juni Pelecehan\xe2\x80\xa6 https://t.co/iwBBRwPzR4'",,0,2,Positif
